"PLANNING DU 1ER SEMESTRE 2017/2018 - MASTER MVA ","","","","","","","","","","","","","","","","","","","","","","","","",""
"10h00-12h30","08h45 - 10h45","09h00 - 12h00","09h00 - 12h15","09h00-13h00","","","","","","","","","","","","","","","","","","","","",""
"Parcimonie et Compressed
  Sensing","Introduction to Statistical Learning","Probabilistic Graphical Models","Introduction à l'imagerie numérique","Computational Statistics","","","","","","","","","","","","","","","","","","","","",""
"G, Peyre","N, Vayatis","Bach / Obozinski","Gousseau / Delon","S.Allassonnière","","","","","","","","","","","","","","","","","","","","",""
"ENS Ulm salle Henri Cartan","Salle Condorcet","ENPC Amphi Cauchy","Telecom Salle C49","Salle Condorcet / TP C109","","","","","","","","","","","","","","","","","","","","",""
"10h30-12h30","11h00 -13h00","09h00 - 13h00","11h00 - 13h00","9h00-12h00","","","","","","","","","","","","","","","","","","","","",""
"Graphs in Machine Learning","Analyse topologique de données","Advanced Learning for Text and
  Graph Data (ALTeGraD)","Reinforcement Learning","Unsupervised learning: From big data to low-dimensional representations","","","","","","","","","","","","","","","","","","","","",""
"M, Valko","J.Tierny / F.Chazal","M, Vazirgiannis","A, Lazaric","R. Vidal","","","","","","","","","","","","","","","","","","","","",""
"Salle Condorcet","Salle C103","ENS Cachan salle Condorcet","Salle Condorcet","Salle C315","","","","","","","","","","","","","","","","","","","","",""
"","12h45 - 15h45","","13h30 - 18h45","","","","","","","","","","","","","","","","","","","","","",""
"","3D Computer Vision","","Méthodes mathématiques pour les
  neurosciences","","","","","","","","","","","","","","","","","","","","","",""
"","P. Monasse","","Tanre / Veltz","","","","","","","","","","","","","","","","","","","","","",""
"","Telecom salle C49","","Jussieu, salle à venir","","","","","","","","","","","","","","","","","","","","","",""
"13h30 - 16h30","14h00 - 18h00","13h30 - 16h30","13h30 - 16h00","14h00 - 17h00","","","","","","","","","","","","","","","","","","","","",""
"Optimisation convexe :
  modélisation, algorithmes et applications","Advanced Learning for Text and
  Graph Data (ALTeGraD)","TP Optimisation et caractéristiques des minimiseurs. Application aux images.","Sub-pixel Image Processing","The partial differential equations of image processing","","","","","","","","","","","","","","","","","","","","",""
